Moneyness,Volatility,N,MAE,RMSE,MAPE
ITM,HV5_abs,124724,75.84886882010115,123.60928047996687,10.236471861984535
ITM,HV20_abs,124724,76.92917291900542,121.52140546972618,10.397823024897116
ITM,HV60_abs,124724,80.26438364007568,123.82544282900024,10.677999272383456
ITM,HV100_abs,124724,79.11003860509271,122.35838728497131,10.452105323472722
ITM,GARCH_abs,124724,71.03407073962674,113.86581053920645,9.477963619678318
ITM,EGARCH_abs,124724,69.53592848315778,110.9506763269035,9.172943489157053
ATM,HV5_abs,287285,60.50640100815151,103.22381292012709,31.27124302688197
ATM,HV20_abs,287285,52.8294510647394,90.70181261752234,26.112271136837904
ATM,HV60_abs,287285,50.37607047360007,82.54549562689306,26.131120890605647
ATM,HV100_abs,287285,49.13971302124517,77.75304860462447,26.764386896133242
ATM,GARCH_abs,287285,43.51890111121766,75.74972627867352,24.407907196507374
ATM,EGARCH_abs,287285,40.84022743848555,66.9643116793103,23.24417703973605
OTM,HV5_abs,271509,55.87708095449612,124.17948445735796,221.1218965204965
OTM,HV20_abs,271509,47.17036811484961,98.90468453939069,190.9645226925432
OTM,HV60_abs,271509,41.41588526196064,79.44247575857736,155.92555842873261
OTM,HV100_abs,271509,40.04593384970413,71.34365275314734,154.75870230479674
OTM,GARCH_abs,271509,39.23468508625222,82.68043236494121,159.30929023968073
OTM,EGARCH_abs,271509,32.441750371369096,62.231667093552424,123.39604151965165
