Moneyness,Volatility,N,MAE,RMSE,MAPE
ITM,HV5,124724,76.12235282168876,122.34735317445028,10.24880032193137
ITM,HV20,124724,77.48709558169706,121.46201611664723,10.438459849255532
ITM,HV60,124724,80.35409147299335,123.79599829442097,10.664720162804736
ITM,HV100,124724,78.72181007301269,122.32274638136889,10.382057868120398
ITM,GARCH,124724,71.89366171697769,114.50082504980942,9.557776217980809
ITM,EGARCH,124724,70.64927125493654,112.32048851990676,9.29058354737369
ATM,HV5,287285,60.469341103841316,102.92757436405437,31.40496491194974
ATM,HV20,287285,52.76584912640466,90.89454886095677,26.287141265133968
ATM,HV60,287285,50.340825987426875,82.87782478323365,26.463356694417044
ATM,HV100,287285,49.18957108036249,78.18231421020857,27.18140621519104
ATM,GARCH,287285,43.65260734819254,76.08726704967968,24.8542492986835
ATM,EGARCH,287285,40.91796929880856,67.22578656716775,23.637332177232864
OTM,HV5,271509,60.077748389538485,134.17005573384515,260.9790812425007
OTM,HV20,271509,51.359323986711836,109.30154617550893,230.8794494274993
OTM,HV60,271509,45.167961971091756,88.2064692256681,190.08159428753032
OTM,HV100,271509,44.56378519340358,79.51402401702428,190.99692172679036
OTM,GARCH,271509,44.50957450749631,92.87110369693467,200.7719957090058
OTM,EGARCH,271509,36.893645608941625,70.35718769510952,157.59689535593466
