Moneyness,Volatility,N,MAE,RMSE,MAPE
ITM,HV5,124724,65.24683018785655,112.7985050400941,9.053606170976149
ITM,HV20,124724,67.74403007148378,112.21001308784466,9.51417147502897
ITM,HV60,124724,73.78172187241675,116.70556088674189,10.258084670898825
ITM,HV100,124724,77.82289409265658,118.6790041928328,10.748713794633623
ITM,GARCH,124724,67.44654938964608,107.3391548094218,9.475435798154894
ITM,EGARCH,124724,65.10872930707858,103.33221760647749,9.05188581068258
ATM,HV5,287285,59.66950249631128,101.93949028633013,42.73367515156502
ATM,HV20,287285,65.2460960016368,98.68839682827914,47.38666907923872
ATM,HV60,287285,70.25401093445974,97.76884804360674,52.55927663611445
ATM,HV100,287285,74.37079632467356,99.61338785589835,54.80049362071004
ATM,GARCH,287285,69.40936141884458,94.37512990063757,53.1642491156989
ATM,EGARCH,287285,65.43385265069901,85.24953380912872,51.29191220826842
OTM,HV5,271509,88.50950149533782,152.56118392486272,518.2196202800685
OTM,HV20,271509,91.8312654275399,137.07323412313625,525.129952133958
OTM,HV60,271509,90.11352033104268,124.51455870315566,499.7924201457397
OTM,HV100,271509,91.43202935877109,121.96805953675457,508.30920256498723
OTM,GARCH,271509,94.91400926610912,130.00923173593728,528.2845618572119
OTM,EGARCH,271509,87.16767096009401,112.66551077621821,482.16238871639405
