Variabel,N,Minimum,Maximum,Mean,Median,Std. Dev.,Skewness,Kurtosis
Harga Aset (S),3417592,2235.760000,6890.890000,4209.010905,4154.770000,937.472434,0.638499,0.331309
Strike Price (K),3417592,1875.000000,8600.000000,4298.265232,4225.000000,992.287504,0.707866,0.549118
"Waktu Jatuh Tempo (T, hari)",3417592,7.000000,365.000000,95.923444,63.000000,91.478317,1.260930,0.669430
Suku Bunga (r),3417592,0.000100,0.054000,0.023708,0.022800,0.021225,0.155112,-1.656074
Harga Opsi (C),3417592,0.380000,1928.370000,164.592717,86.700000,203.947025,1.981058,4.549166
HV 5-Hari,3417592,0.012699,1.523120,0.172584,0.139516,0.144442,4.186268,27.414786
HV 20-Hari,3417592,0.049677,0.978975,0.180461,0.148668,0.124015,3.648214,17.980105
HV 60-Hari,3417592,0.067088,0.640090,0.184978,0.154385,0.104267,2.550689,7.697031
HV 100-Hari,3417592,0.089105,0.517961,0.188797,0.160611,0.093185,1.983300,4.094815
"GARCH (1,1)",3417592,0.066119,1.438321,0.184039,0.153761,0.119241,4.388648,29.493998
"EGARCH (1,1)",3417592,0.056428,1.105798,0.180827,0.157374,0.094234,3.287297,19.358613
