Moneyness,Days_to_Exp,Model_1,Model_2,N_days,DM_HLN,p_value,Lower_Loss,Signif
OTM,< 60,ANN,BS,525,-2.0148,0.0444,ANN,**
OTM,< 60,ANN,Bach,525,-1.8684,0.0623,ANN,*
OTM,< 60,ANN,MCJD,525,-7.9481,0.0000,ANN,***
OTM,< 60,BS,Bach,525,2.6302,0.0088,Bach,***
OTM,< 60,BS,MCJD,525,-16.2283,0.0000,BS,***
OTM,< 60,Bach,MCJD,525,-14.1934,0.0000,Bach,***
OTM,60-180,ANN,BS,525,-1.7217,0.0857,ANN,*
OTM,60-180,ANN,Bach,525,-1.5583,0.1198,ANN,
OTM,60-180,ANN,MCJD,525,-6.7349,0.0000,ANN,***
OTM,60-180,BS,Bach,525,2.3206,0.0207,Bach,**
OTM,60-180,BS,MCJD,525,-17.5014,0.0000,BS,***
OTM,60-180,Bach,MCJD,525,-13.5703,0.0000,Bach,***
OTM,>= 180,ANN,BS,525,-1.4510,0.1474,ANN,
OTM,>= 180,ANN,Bach,525,-1.1963,0.2321,ANN,
OTM,>= 180,ANN,MCJD,525,-5.3796,0.0000,ANN,***
OTM,>= 180,BS,Bach,525,2.1818,0.0296,Bach,**
OTM,>= 180,BS,MCJD,525,-15.3858,0.0000,BS,***
OTM,>= 180,Bach,MCJD,525,-10.6302,0.0000,Bach,***
ATM,< 60,ANN,BS,525,-0.6926,0.4889,ANN,
ATM,< 60,ANN,Bach,525,-0.4965,0.6197,ANN,
ATM,< 60,ANN,MCJD,525,-3.8619,0.0001,ANN,***
ATM,< 60,BS,Bach,525,3.7879,0.0002,Bach,***
ATM,< 60,BS,MCJD,525,-5.0059,0.0000,BS,***
ATM,< 60,Bach,MCJD,525,-5.2637,0.0000,Bach,***
ATM,60-180,ANN,BS,525,-0.0463,0.9631,ANN,
ATM,60-180,ANN,Bach,525,0.0147,0.9883,Bach,
ATM,60-180,ANN,MCJD,525,-3.0172,0.0027,ANN,***
ATM,60-180,BS,Bach,525,2.6620,0.0080,Bach,***
ATM,60-180,BS,MCJD,525,-6.2272,0.0000,BS,***
ATM,60-180,Bach,MCJD,525,-6.3102,0.0000,Bach,***
ATM,>= 180,ANN,BS,525,-0.3021,0.7627,ANN,
ATM,>= 180,ANN,Bach,525,-0.2853,0.7756,ANN,
ATM,>= 180,ANN,MCJD,525,-2.1810,0.0296,ANN,**
ATM,>= 180,BS,Bach,525,0.6118,0.5410,Bach,
ATM,>= 180,BS,MCJD,525,-4.5582,0.0000,BS,***
ATM,>= 180,Bach,MCJD,525,-4.4062,0.0000,Bach,***
ITM,< 60,ANN,BS,525,-3.9858,0.0001,ANN,***
ITM,< 60,ANN,Bach,525,-3.9734,0.0001,ANN,***
ITM,< 60,ANN,MCJD,525,-3.4134,0.0007,ANN,***
ITM,< 60,BS,Bach,525,3.7070,0.0002,Bach,***
ITM,< 60,BS,MCJD,525,5.9785,0.0000,MCJD,***
ITM,< 60,Bach,MCJD,525,6.1142,0.0000,MCJD,***
ITM,60-180,ANN,BS,525,-3.2131,0.0014,ANN,***
ITM,60-180,ANN,Bach,525,-2.8776,0.0042,ANN,***
ITM,60-180,ANN,MCJD,525,-0.6230,0.5336,ANN,
ITM,60-180,BS,Bach,525,4.1312,0.0000,Bach,***
ITM,60-180,BS,MCJD,525,2.8975,0.0039,MCJD,***
ITM,60-180,Bach,MCJD,525,2.5780,0.0102,MCJD,**
ITM,>= 180,ANN,BS,525,1.0045,0.3156,BS,
ITM,>= 180,ANN,Bach,525,1.3905,0.1650,Bach,
ITM,>= 180,ANN,MCJD,525,1.1819,0.2378,MCJD,
ITM,>= 180,BS,Bach,525,2.4734,0.0137,Bach,**
ITM,>= 180,BS,MCJD,525,0.8341,0.4046,MCJD,
ITM,>= 180,Bach,MCJD,525,0.5389,0.5902,MCJD,
